Anul,Titlu,Aspect_Detectat,Sentiment_Stele
1914,FINANCIEELE MEDEDEELINGEN. SPOOR- EN TRAMWEGONTVANGSTEN.,FINANCIAR,4
1913,Uit de Petroleum-Industrie.,GREVA,5
1925,PellOlenmlndustrie.,FINANCIAR,5
1912,Uit de Petroleumindustrie,GREVA,5
1930,ROEMEENSCHE PETROLEUMINDUSTRIE. Dagelijksche productie meer dan 1750 wagons. — Totale productie in Mei geschat op 530.000 ton.,TEHNOLOGIE,1
1916,Uit de Petroleumindustrie.,GREVA,5
1920,Uit de Rcemeensche petroleum-industrie.,GREVA,5
1913,Uit de Petroleumindustrie.,GREVA,5
1936,De eerste bron.,TEHNOLOGIE,5
1938,Advertentie,FINANCIAR,4
1914,Financiën en Handel. De Roemeensche petroleum-industrie.,FINANCIAR,5
1928,DE ROEMEENSCHE PETROLEUMINDUSTRIE. De productie in het eerste kwartaal van 1928. — De toestand in de petroleumindustrie laat te wenschen over.,FINANCIAR,2
1931,ROEMEENSCHE PETROLEUM. Nieuwe daling der prijzen.,TEHNOLOGIE,1
1917,ZEETIJDINGEN. BINNENLANDSCHE HAVENS,TEHNOLOGIE,5
1989,VOETBAL,FINANCIAR,5
1919,Eerste Kamer. Vergadering van Donderdag 5 Juni. Indisch geldleenig. Indische begrooting.,ACCIDENT,1
1917,De Roemeensche petroleumvelden.,TEHNOLOGIE,5
1910,FINANCIEELE MEDEDEELINGEN.,FINANCIAR,4
1911,Uit de Petrolsumindustris.,ACCIDENT,5
1925,Astra Romana.,TEHNOLOGIE,5
1937,Advertentie,FINANCIAR,4
1923,Roemenië.,FINANCIAR,5
1911,Uit de petroleumindustrie.,GREVA,5
1911,Astra Romana Petroieum-Mij.,TEHNOLOGIE,3
1930,ROEMEENSCHE PETROLEUMINDUSTRIE. Dagelijksche productie meer dan 1750 wagons. — Totale productie in Mei geschat op 530.000 ton.,TEHNOLOGIE,1
1911,Astra Romana.,TEHNOLOGIE,5
1929,De Donaulanden.,FINANCIAR,5
1911,Uit de Petroleumindustrie.,GREVA,5
1913,Uit de Petroleumindustrie.,GREVA,5
1912,Roemenië,FINANCIAR,3
1912,Financieel en Economisch Nieuws HAAGSCHE BEURS Officieele noteering der Vereeniging voor den Haagschen Geld- en Effectenhandel,FINANCIAR,4
1931,DE PETROLEUMFAKKEL VAN MODEM.,TEHNOLOGIE,5
1915,Uit de Petroleum-industrie.,GREVA,5
1914,FINANCIEELE MEDEDEELINGEN. FAILLISSEMENTEN.,FINANCIAR,1
1931,De petroleumbrand te Moreni.,FINANCIAR,1
1931,DE PETROLEUMBRAND IN MORENI.,TEHNOLOGIE,1
1913,Uit de Petroleumindustrie.,GREVA,5
1913,GEMENGD NIEUWS.,GREVA,4
1910,FINANCIEELE BERICHTEN.,FINANCIAR,4
1929,ROEMENIË. DE PETROLEUMBRAND. Steeds omvangrijker en gevaarlijker.,TEHNOLOGIE,1
1929,Afnemende productie.,FINANCIAR,5
1924,Uit de Roemeensche petroleumindustrie.,GREVA,5
1927,UIT DE ROEMEENSCHE PETROLEUM INDUSTRIE. Toestand onveranderd.,TEHNOLOGIE,1
1925,De Phoepix petroleumgroep.,GREVA,5
1916,Steaua Romana.,FINANCIAR,5
1928,Gemengde Berichten In het buitenland verongelukt.,TEHNOLOGIE,1
1930,Twee nieuwe petroleumbranden,TEHNOLOGIE,2
1928,Brand ineen petroleumdistrict.,ACCIDENT,1
1929,Gevaarlijke petroleumbrand.,TEHNOLOGIE,1
1928,Gemengde Berichten.,TEHNOLOGIE,4
1932,HET BELANGRIJKSTE NIEUWS,TEHNOLOGIE,5
1932,Geweldige olie-explosie 700 wagons olie inde lucht geslingerd,TEHNOLOGIE,1
1960,Nieuwe tentoonstelling in Van Abbe-museum,TEHNOLOGIE,5
1929,ROEMENIë.,FINANCIAR,5
1937,Wielrennen,TEHNOLOGIE,5
1929,ROEMENIë. Een ontploffingsramp.,TEHNOLOGIE,1
1929,HEVIGE ONTPLOFFINGSRAMP IN ROEMENIë,ACCIDENT,5
1930,De petroleumbrand in Moreni Een nieuwe ontploffing,TEHNOLOGIE,1
1930,De petroleumbrand in Moreni Een nieuwe ontploffing,TEHNOLOGIE,1
1930,Pertroleumbrand in Roemenië. De schade loopt in de millioenen.,TEHNOLOGIE,1
1931,Petroleum-industrie.,GREVA,5
1931,Petroleum-lndustrie.,ACCIDENT,5
1929,HOOFDINHOUD,TEHNOLOGIE,3
1930,Petroleum-industrie.,GREVA,5
1930,petroleum-indnstrie.,GREVA,5
1925,FINANCIEEL NIEUWS Phoenix Oil en Transportoll Cy. Ltd.,FINANCIAR,4
1926,Petroleum-industrie.,GREVA,5
1912,HEVIGE AARDBEVING.,FINANCIAR,5
1926,Petroleum-industrie.,GREVA,5
1927,"ONWEER IN ROEMENIE. BOEKAREST, 2 Spet. (H.N.).",FINANCIAR,1
1923,PHOENIX OIL. De productie in Juli.,TEHNOLOGIE,1
1923,FINANCIEN EN ECONOMIE. BUITENLAND. PHOENIX OIL & TRANSPORT CO. Verkoop ex-vijandelijk aandeelenbezit.,FINANCIAR,1
1912,Astra Romana.,TEHNOLOGIE,5
1925,De petroleumbrand In Roameni?.,FINANCIAR,1
1925,De petroleumbrand in Roemenië.,FINANCIAR,1
1920,Petroleum Mij. „Orion”.,FINANCIAR,5
1931,Petroleum-industrie.,GREVA,5
1931,Petroleum-indnstrie.,GREVA,5
1929,Brandende petroleumvelden Boormateriaal over greoten afstand weggeslingerd. SCHADE VAN MEER DAN 20 MILLIOEN LEI.,ACCIDENT,1
1929,DE BALKAN.,FINANCIAR,4
1930,Geweldige brand RUMEENSCHE PETROLEUMBRON IN VLAMMEN.,TEHNOLOGIE,1
1928,Petroleumbranden in Roemenië Honderden zandzakken in de schachten der brandende boortorens geworpen. Er is geen blusschen kan. GEVAAR STEEDS DREIGENDER.,ACCIDENT,1
1936,"BUITENLAND De politiek van Tatarescoe Hechte versterking van de Balkan-entente In Roemenië woedt de strijd der nationaliteiten, waaronder de geheele Balkan gebukt gaat",ACCIDENT,3
1925,ROMANA AMERICANA. Buitengewoon groote productie bron No. 1 Moreni-terrein. — Het winnen van Jodium.,TEHNOLOGIE,5
1925,ROEMEENSCHE PETROLEUMNIJVERHEID. De toestand stationnair. – Een nieuwe bron der Concordia. – De brand op het Moreni-terrein.,TEHNOLOGIE,1
1909,Fusie Astra-Regatul Romana.,FINANCIAR,5
2004,Alessio-Bianchi,FINANCIAR,3
2004,Uitslagen,FINANCIAR,3
1916,BUITENLAND.,FINANCIAR,3
1984,Popy Moreni,FINANCIAR,3
1988,VOETBAL,FINANCIAR,5
1929,BELANGRIJKSTE NIEUWS BINNENLAND.,TEHNOLOGIE,5
1924,Familiebericht,FINANCIAR,5
1931,NIEUWS VAN HEDEN. PLAATSELIJK.,FINANCIAR,5
1929,GEWELDIGE PETROLEUMBRAND IN RUMENIE.,TEHNOLOGIE,5
1928,ROEMENIë. De petroleumbranden.,TEHNOLOGIE,1
1930,ROEMENIE. DE PETROLEUMBRAND IN MORENL Een nieuwe ontploffing.,TEHNOLOGIE,1
1910,Familiebericht,FINANCIAR,5
1919,Familiebericht,FINANCIAR,5
1909,Roemecusche petroleumproductie in Augustus.,TEHNOLOGIE,1
1954,STICHTING JEUGDZORG OPGERICHT,TEHNOLOGIE,5
1929,Reusachtige petroleumbrand in Roemenië.,FINANCIAR,1
1931,Petroleum-industrie.,GREVA,5
1931,Petroleum-industrie,GREVA,5
1929,DE PETROLEUMBRAND. Steeds omvangrijker en gevaarlijker.,TEHNOLOGIE,1
1925,Brand op de Roemeensche olieterreinen.,TEHNOLOGIE,1
1929,GEMENGD DE GEWELDIGE PETROLEUMBRAND IN ROEMENIë. Voorloopig nog niet gebluscht.,ACCIDENT,5
1973,Advertentie,FINANCIAR,4
1929,Steaua Romana en Astra Romana.,TEHNOLOGIE,5
1923,Phoenix Oil and Transport Cy.,FINANCIAR,5
1925,Een Brand op de Olievelden van de Standard Oil in Roemenië.,TEHNOLOGIE,1
1925,Uit de Roemeensche Petroleum-industrie.,FINANCIAR,5
1910,Mij. Astra.,TEHNOLOGIE,5
1931,DE PETROLEUMBRAND TE MORENI GEBLUSCHT.,TEHNOLOGIE,1
1929,ROEMENIE Hevige ontploffing.,TEHNOLOGIE,1
1925,ROMANA AMERICANA. De brand in de bron op het Moreni-terrein duurt voort.,TEHNOLOGIE,1
1923,FINANCIËN EN ECONOMIE. Astra Romana.,FINANCIAR,5
1911,Petroleum.,FINANCIAR,5
1925,DE ROEMEENSCHE PETROLEUMINDUSTRIE. De brand te Moreni.,FINANCIAR,1
1916,Astra Romana.,TEHNOLOGIE,5
1913,Petroleum-Mij. Steaua Romana.,FINANCIAR,5
1929,Buitenland.,FINANCIAR,3
1904,Fără titlu,GREVA,1
1926,STEAUA ROMANA. Nieuwe bron aangeboord.—Productie van enkele oude bronnen gedaald.,TEHNOLOGIE,5
1926,UIT DE ROEMEENSCHE PETROLEUMINDUSTRIE. Stijgende productie.,TEHNOLOGIE,1
1926,UIT DE ROEMEENSCHE PETROLEUMINDUSTRIE. Ongunstige prijzen.—Handhaving der productie.,FINANCIAR,5
1929,HONGARIJE. DE PETROLEUMBRAND BIJ MORENT,TEHNOLOGIE,1
1913,Advertentie,FINANCIAR,4
1929,ONTZAGLIJKE PETROLEUMBRAND IN ROEMENIË.,TEHNOLOGIE,1
1928,DE PETROLEUMBRANDEN. Een tunnel aangelegd.,TEHNOLOGIE,1
1923,Familiebericht,FINANCIAR,5
1929,DE PETROLEUMBRAND IN ROEMENIE.,TEHNOLOGIE,1
1925,"Een Brand op de Olievelden van de Standard Oil in Roemenië,",TEHNOLOGIE,1
1912,Fusion pétrolière importante en Roumanie.,TEHNOLOGIE,5
1913,Steaua Romana,FINANCIAR,5
1929,HEVIGE ONTPLOFFING IN ROEMENIE.,GREVA,5
1937,Kort Nieuws,GREVA,4
1931,DE PETROLEUMFAKKEL VAN MORENI.,FINANCIAR,5
1914,FINANCIEELE BERICHTEN.,FINANCIAR,4
1941,Wie die Riesen im kleinen Dorf,TEHNOLOGIE,5
1913,Uit de Petroleum-industrie.,GREVA,5
1916,Uit de Petroleumindustrie,GREVA,5
1913,Uit do Petroleum-industrie.,GREVA,5
1912,Uit de Petroleum-industrie.,GREVA,5
1929,GEMENGD NIEUWS,GREVA,4
1913,Uit de Petroleum-industrie.,GREVA,5
1931,Berichten over petroleumbransen in Roemenië,ACCIDENT,4
1917,Financiëele berichten.,FINANCIAR,4
1925,FINANCIEN EN HANDEL Astra Romana. Aan het jaarverslag van de Astra Romana ontleenen wa het volgende:,FINANCIAR,4
1912,Uit de petroleum-industrie.,GREVA,5
1914,Uit de Petroleumindustrie.,GREVA,5
1915,Roemeensche petroleumindustrie.,GREVA,5
1999,Moreni verrast vedetten,FINANCIAR,3
1999,Moreni verrast vedetten,FINANCIAR,3
1928,GEMENGD BINNENLAND ERNSTIG MOTORONGELUK BIJ WASSENAAR. Jhr. E. O. Berg v. Middenburgh overleden.,GREVA,1
1915,Roemeensche petroleum-industrie.,GREVA,5
1912,Uit de Petroleum-industrie.,GREVA,5
1911,Uit de Petroleum-Industrie.,GREVA,5
1912,Uit de Petroleumindustrie.,GREVA,5
1928,Geconsolideerde Hollandsche Petroleum Cie.,TEHNOLOGIE,5
1912,Uit de petroleum-industrie.,GREVA,5
1917,De Nederl. schade in Roemenië,TEHNOLOGIE,1
1913,Uit de Petroleum-industrie.,GREVA,5
1931,Ba,TEHNOLOGIE,3
1931,De Petroleumbranden in Moreni,TEHNOLOGIE,1
1905,Rumeensche Petroleum.,FINANCIAR,5
1931,De Petroleumbrand in Moreni,FINANCIAR,1
1924,NAAR ROEMENIË.,FINANCIAR,1
1913,HAAGSCHE BEURS Officieele noteering der Vereeniging voor den Haagschen Geld- en Effectenhandel,FINANCIAR,5
1911,Uit de Petroleumindustrie.,GREVA,5
1931,DE PETROLEUMFAKKEL VAN MORENI Reeds 18 maanden is er brand in het Roemeensch petroleumgebied. Militairen zetten den dalketel af. – Een ongelukkig dorp.,GREVA,1
1931,"De Petroleumbrand in Moreni. Een brand welke 2½ jaar duurde, tham plotseling geëindigd.",ACCIDENT,1
1931,DE PETROLEUMBRAND IN MOREN.,TEHNOLOGIE,1
1912,Astra Romana.,TEHNOLOGIE,5
1912,TELEGRAMMEN.,TEHNOLOGIE,5
1915,FINANCIEELE BERICHTEN.,FINANCIAR,4
1930,De brand in het Roemeensche petroleumgebied.,TEHNOLOGIE,1
1875,Advertentie,FINANCIAR,4
1912,Uit de Petroleum-Industrle.,ACCIDENT,5
1916,Astra Romana.,TEHNOLOGIE,5
1916,Steaua Romana.,FINANCIAR,5
1930,DIPLOMA HUISHOUDSTER.,FINANCIAR,4
1928,"DE „STAALHELM"" IN ACTIE.",ACCIDENT,5
1916,Steaua Romana.,FINANCIAR,5
1929,Waar menschenkracht faalt Enorme petroleumbranden in Rumenië. SCHADE OF MEER DAN 50 MILLIOEN LEI GESCHAT.,ACCIDENT,1
1950,BREDA,TEHNOLOGIE,5
1912,BRAND IN RUMEENSCHE PETROLEUMPUTTEN.,TEHNOLOGIE,1
1929,GROOTE PETROLEUMBRANE TE MOREN!.,FINANCIAR,1
1905,Rumeensche petroleum-industrie.,GREVA,5
1905,Buitenlandsch kapitaal in de Rumeensche Petroleum-industrie.,FINANCIAR,1
1930,ROEMENIË.,FINANCIAR,5
1929,DE BALKAN.,FINANCIAR,4
1927,Aanboring van nieuwe bronnen op het Moreni-gebied door de Petrolul Romanese.,TEHNOLOGIE,4
1929,BUITENLAND.,FINANCIAR,3
1929,Een groote brand op een Roemeensch olieveld.,FINANCIAR,1
1929,Voornaamste Nieuws,TEHNOLOGIE,5
1929,Voornaamste Nieuws,TEHNOLOGIE,5
1930,Voornaamste Nieuws,TEHNOLOGIE,5
1929,Voornaamste Nieuws,TEHNOLOGIE,5
1931,Petroleum-industrie.,GREVA,5
1926,Petroleum-industrie.,GREVA,5
1932,Petrolenm-industrie.,GREVA,5
1931,Petroleum-induatrie.,ACCIDENT,5
1931,Petroleum-industrie.,GREVA,5
1928,Petroleum-industrie.,GREVA,5
1925,Uit de Roemeensche petroleum-industrie.,GREVA,5
1925,FINANCIEELE BERICHTEN.,FINANCIAR,4
1912,"Petroleum-Mij. ""Steaua Romana""",TEHNOLOGIE,5
1912,"Petroleum-Mij. ""Astra Romana"".",TEHNOLOGIE,3
1913,Steaua Romana.,FINANCIAR,5
1916,"De „Astra Romana"".",TEHNOLOGIE,5
1906,De Koninklijke in Rumenië.,FINANCIAR,5
1925,ASTRA ROMANA.,FINANCIAR,5
1921,Uit da Roemeensche petroleumintiustrie.,FINANCIAR,5
1920,Uit de Roemeensche petroleumindustrie.,GREVA,5
1912,Petroleum-Mij. „Orion.”,FINANCIAR,3
1913,Brand in Petroleummljen.,FINANCIAR,5
1926,BUITENLAND. STEAUA ROMANA. Een bron met een productie van 1000 ton per dag aangeboord.,TEHNOLOGIE,5
1927,UIT DE ROEMEENSCHE PETROLEUM INDUSTRIE. Mindere bedrijvigheid wegens de crisis. Nieuwe sonde Astra Romana,ACCIDENT,1
1927,UIT DE ROEMEENSCHE PETROLEUM-INDUSTRIE. Hooge belastingen.-Dagelijksche productie Astra Romana 200 wagens,FINANCIAR,5
1924,De Roemeensche petroleumindustrie.,FINANCIAR,5
1929,ROEMENIË.,FINANCIAR,5
1934,ONDERWIJS,TEHNOLOGIE,4
1986,Advertentie,FINANCIAR,4
1986,Advertentie,FINANCIAR,4
1911,Astra-Romana.,TEHNOLOGIE,5
1921,De productie van de Astra Romana.,TEHNOLOGIE,5
1915,Steana Romana.,FINANCIAR,5
1915,FINANCIEN EN ECONOMIE Vergaderingen op 9 Augustus 1915.,FINANCIAR,4
1910,Regatul Roman.,FINANCIAR,5
1921,Uit de Roemeensche petroleum-industrie.,GREVA,5
1928,DE HYDROFINA.,FINANCIAR,5
1927,DE BALKAN. HEVIGE ONWEDERS IN ROEMENIë.,FINANCIAR,5
1929,DE BALKAN. PETROLEUMBRAND IN ROEMENIë.,TEHNOLOGIE,1
1929,DE BALKAN. STOOMKETEL ONTPLOFT,TEHNOLOGIE,1
1931,VOORNAAMSTE NIEUWS.,TEHNOLOGIE,5
2001,Wielrennen,TEHNOLOGIE,5
2005,Wielrennen,TEHNOLOGIE,5
2002,Wielrennen,TEHNOLOGIE,5
1923,Financieel Nieuws. FINANCIëN VAN AMERIKA.,FINANCIAR,4
1930,ROEMENIE. DE PETROLEUMBRAND BREIDT ZICH UIT.,FINANCIAR,1
1989,Gelijkspel,FINANCIAR,1
1990,Roberto Moreno naar Benetton,TEHNOLOGIE,3
2005,Quick-Step(Bel),TEHNOLOGIE,4
1989,VOETBAL UEFA CUP,FINANCIAR,5
1913,Laatste Nieuws uit het Buitenland.,TEHNOLOGIE,5
1929,HEVIGE PETROLEUMBRAND. Geweldige schade.,TEHNOLOGIE,1
1988,Voetbal Roemeense competitie,FINANCIAR,5
1987,VOETBAL,FINANCIAR,5
1988,VOETBAL,FINANCIAR,5
1987,VOETBAL,FINANCIAR,5
1929,BELANGRIJK NIEUWS IN WEINIG REGELS.,TEHNOLOGIE,4
1929,BELANGRIJKSTE NIEUWS,TEHNOLOGIE,5
1930,DE PETROLEUMBRAND TE MORENI.,TEHNOLOGIE,1
1929,Petroleumbrand.,FINANCIAR,5
1918,Familiebericht,FINANCIAR,5
1937,Een hoorder stoot op gas...,TEHNOLOGIE,1
1924,UIT DE ROEMEENSCHE PETROLEUMNIJVERHEID. Toenemende productie.,TEHNOLOGIE,2
1928,Advertentie,FINANCIAR,4
1916,"Steaua Romana. Petroleum Mij. „Astra Romana"".",FINANCIAR,5
1881,Advertentie,FINANCIAR,4
1929,De geweldige petroleumbrand in Morend,FINANCIAR,5
1929,Enorme petroleumbranden in Roemenië. Schade van meer dan 50 millioen lei.,TEHNOLOGIE,1
1929,ROEMENIË. DE PETROLEUMBRAND NEEMT STEEDS TOE. Van vulkanischen oorsprong?,TEHNOLOGIE,1
1930,ROEMENIË. GROOTE BRAND OP EEN PETROLEUMVELD. Een groote vlammenzee.,TEHNOLOGIE,1
1929,Petroleum-lndustrie.,ACCIDENT,5
1925,VLIEGTUIG GELAND.,FINANCIAR,1
1926,De Roemensche petroleum-industrie.,ACCIDENT,5
1964,Wegen gekruist,TEHNOLOGIE,1
1926,UIT DE ROEMEENSCHE PETROLEUMINDUSTRIE.,TEHNOLOGIE,5
1930,ROEMENIË. DE PETROLEUMBRAND TE MORENI. Uitbreiding.,TEHNOLOGIE,2
1929,ROEMEENSCHE PETROLEUM-NIJVERHEID. Nieuwe bronnen aangeboord. Hoogere prijzen.,FINANCIAR,5
1921,Astra Romana.,TEHNOLOGIE,5
1929,ROEMENIË DE PETROLEUMBRAND.,TEHNOLOGIE,1
1929,DE FILM „NED.-INDIË” IN ROEMENIË.,FINANCIAR,1
1912,Petroleumbrand.,FINANCIAR,5
1912,Nagekomen Berichten.,TEHNOLOGIE,1
1929,De Indië-Film in Roemenië.,FINANCIAR,5
1989,VOETBAL,FINANCIAR,5
1906,FINANCIEELE BERICHTEN.,FINANCIAR,4
1975,"Talentenshow ""Glück Auf"" naar Hoensbroek",ACCIDENT,5
1927,Advertentie,FINANCIAR,4
1913,Petroleum-mpij. Astra Romana.,TEHNOLOGIE,5
1913,"Petroleum, Mij. Astra. Romana.",FINANCIAR,3
1913,Petroleum Mij. Astra Romana.,TEHNOLOGIE,5
1929,De petroleumbrand in Moreni.,FINANCIAR,1
1921,Laatste Berichten. Uit de Roemeensche petroleumindustrie.,ACCIDENT,5
1927,Belangrijkste Nieuws.,GREVA,5
1920,Uit da Roemeensclie petroleurrundustrte.,FINANCIAR,1
1926,ROEMEENSCHE PETROLEUM NIJVERHEID. Aanboring van rijke bronnen. — De invloed der koersstijging van de lei op het prijsverloop.,FINANCIAR,4
1926,De Roemensche petroleum industrie.,ACCIDENT,5
1929,DE PETROLEUMBRAND IN ROEMENIE. Nadere bijzonderheden.,TEHNOLOGIE,3
1934,EXAMENS,GREVA,4
1929,BRANDENDE BOORPUTTEN Torenhooge vlammen,TEHNOLOGIE,1
1913,Telegrammen,TEHNOLOGIE,5
1913,LETTEREN EN KUNST.,TEHNOLOGIE,5
1929,PETROLEUMBRAND IN ROEMENIE.,TEHNOLOGIE,1
1933,Boven links: koning Carol van Roemenië. Daarnaast: een kijkje op de boortorens,TEHNOLOGIE,3
1913,Industrie,TEHNOLOGIE,5
1930,Kleine Buitenlandsche Berichten.,FINANCIAR,3
1929,Onbluschbare petroleumbrand.,TEHNOLOGIE,1
1928,SCHEEPSONGEVAL OP DEN RIJN.,FINANCIAR,1
1911,Petroleum-industrie.,GREVA,5
1912,Petro1eum-Mij. „Orion”.,FINANCIAR,3
1911,Financieel en Economisch Nieuws,FINANCIAR,4
1913,Uit de Petroleum-industrie.,GREVA,5
1929,Buitenland.,FINANCIAR,3
1929,BRANDENDE PETROLEUMBRONNEN TE MORENI.,TEHNOLOGIE,1
1912,Amerik. Granen.,FINANCIAR,5
1926,"ROEMEENSCHE PETROLEUM-NIJVERHEID. Oprichting eener exploratie-mant. schappij door den Staat en de parti. cullere ondernemingen te verwachten, Grootere productie. — Booractiviteil Astra Romane en Steana Romana.",TEHNOLOGIE,5
1929,FINANCIEEL NIEUWS GECONSOLIDEERDE HOLLANDSCHE PETROLEUM COMPAGNIE Saldo verlies £ 18.191.—,FINANCIAR,1
1930,ROEMEENSCHE PETROLEUMINDUSTRIE. Verdere daling der exportprijzen. — Brand op het Moreni-terrein nog niet gestuit.,FINANCIAR,1
1916,Uit de Petroleumindustrie.,GREVA,5
1916,Uit de pctroleumindustrie.,GREVA,5
1914,Uit de Potroleum-industrie.,ACCIDENT,5
1916,Uit de petroleumindustrie.,GREVA,5
1936,"De politiek van Tatarescu Versterking van de Balkan-entente staat voorop In Roemenië woedt de strijd der nationaliteiten, waaronder de geheele Balkan gebukt gaat, wel het felst",ACCIDENT,3
1929,ROEMEENSCHE PETROLEUMINDUSTRIE.,TEHNOLOGIE,5
1938,Advertentie,FINANCIAR,4
1911,Uit de Petroieumindustrie.,TEHNOLOGIE,5
2000,Groen Voor Kroon,FINANCIAR,5
2004,Julia mag juichen in de Vuelta,TEHNOLOGIE,3
1932,Het einde van een sensatie,TEHNOLOGIE,5
1929,Buitenland.,FINANCIAR,3
1911,Petro'eum.,FINANCIAR,5
1930,ROEMEENSCHE PETROLEUMINDUSTRIE. Verdere daling der exportprijzen. — Brand op het Moreni-terrein nog niet gestuit.,FINANCIAR,1
1923,FINANCIËN EN HANDEL. De Roemeensche petroleraindustric.,FINANCIAR,5
1914,Uit de Petroleum-industrie.,GREVA,5
1937,Advertentie,FINANCIAR,4
1909,Financieel en Economisch Nieuws,FINANCIAR,4
1929,ROEMENIE De petroleumbrand te Moreni.,FINANCIAR,1
1929,ROEMENIE De pertroleumbrand te Moreni.,TEHNOLOGIE,1
1929,De Donaulanden.,FINANCIAR,5
1929,Familiebericht,FINANCIAR,5
1928,Gemengd Nieuws.,FINANCIAR,4
1917,Pétroles roumains,FINANCIAR,5
1931,"Brieven uit het Buitenland, Het eeuwige vuur van Moreni.",FINANCIAR,5
1930,BUITENLAND. De Oliebron van Moreni Een jaar geleden brak er Brand uit en nog laait het vuur op.,FINANCIAR,1
1930,Het eeuwige vuur van Moreni RUMMEENSCHE PETROLEUMBRONNEN REEDS EEN JAAR IN BRAND. Brandstof uit het inwendige der aarde (Vaneen bijzonderen medewerker).,TEHNOLOGIE,1
1930,BRIEVEN UIT HET BUITENLAND Roemeensche Brief.,FINANCIAR,5
1914,FINANCIEELE MEDEDEELINGEN. SPOOR- EN TRAMWEGONTVANGSTEN.,FINANCIAR,4
1912,De brandende Petroleum-bron.,TEHNOLOGIE,1
1930,ROEMEENSCHE BRIEF. Het eeuwige vuur van Moreni. — De oliebronnen van Roemenië reeds een jaar in brand.,FINANCIAR,1
1930,Brieven uit het buitenland,FINANCIAR,4
1931,GEMENGD NIEUWS De petroleumfakkel van Moreni.,TEHNOLOGIE,4
1930,BRANDENDE OLIEBRONNEN. De eeuwige vuren van Moreni. EEN HOPELOOZE STRIJD TEGEN DE NATUURKRACHTEN.,TEHNOLOGIE,1
1930,"De Oliebron van Moreni Een jaar geleden brak er Brand uit en nog laait het vuur op. STRIJD VAN MENSCHELIJK GENIE TEGEN DE VERZENGENDE VLAMMEN. Boekarest, September 1930",FINANCIAR,5
1930,ROEMEENSCHE BRIEF.,GREVA,5
1915,FINANCIEELE MEDEDEELINGEN. SPOOR- EN TRAMWEGONTVANGSTEN.,FINANCIAR,4
1915,FINANCIEELE MEDEDEELINGEN. SPOOR- EN TRAMWEGONTVANGSTEN.,FINANCIAR,4
1930,„ELCK WAT WILS”. DE ONGELUKSSONDE VAN MORENI.,ACCIDENT,1
1928,MENSCHELIJK VERNUFT TEGEN NATUURKRACHTEN.,FINANCIAR,1
1909,Financieel en Economisch Nieuws,FINANCIAR,4
1928,OOK PETROLEUM WORDT DIKWIJLS DUUR BETAALD.,FINANCIAR,1
1928,PETROLEUM WINNEN OP MAKKELIJKE EN LASTIGE TERREINEN.,FINANCIAR,4
1916,FINANCIEELE BERICHTEN.,FINANCIAR,4
1930,ROEMEENSCHE BRIEF,TEHNOLOGIE,5
1930,"HET EEUWIGE VUUR VAN MORENI Roemenië’s brandende oliebronnen Meer dan een jaar reeds schiet een vuurzuil op uit den bodem, die niet te blusschen is",FINANCIAR,1
1912,Uit de petroleum-industrie.,GREVA,5
1930,Een eeuwig vuur in Moreni? DE OLIEBRONNEN VAN ROEMENIE. REEDS EEN JAAR IN BRAND.,TEHNOLOGIE,1
1911,WALLSTREETNIEUWS.,TEHNOLOGIE,5
1898,Advertentie,FINANCIAR,4
1910,FAMILIEBERICHTEN.,FINANCIAR,5
1913,Dansonderwijzers-Sociëteit,FINANCIAR,5
1928,Een dappere Rotterdammer omgekomen.,FINANCIAR,1
1989,UEFA-BEKER,FINANCIAR,5
1916,Buitenlandsche Havens.,FINANCIAR,5
1930,"DE ROEMEENSCHE PETROLEUMINDUSTRIE, De productie in 1929 en de verdeeling daarvan over staat en particulieren.",TEHNOLOGIE,5
1925,Petroleum-Industrie.,GREVA,5
1924,Uit de Roemeensche petroleum-industrie.,GREVA,5
1924,Uit de Roemesnsche petroleuminriustrie.,FINANCIAR,5
1989,UEFA Cup,FINANCIAR,5
1932,Hoe de dieven binnengekomen moeten zijn.,FINANCIAR,5
1924,WIELRIJDEN.,GREVA,5
1935,Advertentie,FINANCIAR,4
1915,Financieel en Economisch Economisch Nieuws.,FINANCIAR,4
1913,Financieel en Economisch Nieuws,FINANCIAR,4
1906,Beurs van New-York.,FINANCIAR,5
1929,DE BALKAN.,FINANCIAR,4
1929,DE BALKAN.,FINANCIAR,4
1912,TELEGRAMMEN.,TEHNOLOGIE,5
1920,Uit de Roemeensche petroleumindustrie.,GREVA,5
1927,STEAUA ROMANA. Het boorprogramma. — De productiestijging in 1027 op 500.000 ton geraamd.,TEHNOLOGIE,5
1920,De Roemeensche petroleum-industrie.,FINANCIAR,5
1929,Nederland in den Vreemde.,TEHNOLOGIE,5
1986,Advertentie,FINANCIAR,4
1929,BUITENLAND.,FINANCIAR,3
1930,Vorming van een krater.,TEHNOLOGIE,4
1931,Petroleum-industrie.,GREVA,5
1931,Roemenië.,FINANCIAR,5
1931,Petroleum-industrie,GREVA,5
1932,petroleum-industrie.,GREVA,5
1925,Petroleumindustrie.,GREVA,5
1931,Petroleum-industrie.,GREVA,5
1926,Petrolenmlndustrie.,GREVA,5
1927,De petroleumiudustrie.,TEHNOLOGIE,5
1925,Petroleumlndustrle.,TEHNOLOGIE,5
1925,Petroleumlndustrie.,ACCIDENT,5
